,n,mean,sd,median,q1,q3,min,max,median_ci_lo,median_ci_hi
Reduced activity,13.0,3.769230769230769,2.4205318339105477,3.0,2.0,4.0,2.0,11.0,2.0,5.0
Loss of righting reflex (LORR),13.0,6.153846153846154,3.3378174966623986,5.0,4.0,8.0,3.0,14.0,3.0,8.0
Loss of response to stimulus,13.0,7.6923076923076925,3.794395326983721,7.0,4.0,11.0,3.0,14.0,4.0,12.0
Loss of pedal withdrawal reflex,13.0,7.769230769230769,3.5626265159721267,8.0,4.0,10.0,3.0,14.0,4.0,11.0
Adequate anaesthetic plane,12.0,11.75,7.496969084539795,10.0,5.75,15.25,4.0,29.0,5.0,16.0
First movement,13.0,46.53846153846154,16.00320480724296,48.0,35.0,53.0,23.0,73.0,27.0,63.0
Return of pedal reflex,13.0,53.92307692307692,17.52361044639269,56.0,42.0,63.0,27.0,84.0,38.0,69.0
Return of righting reflex (RORR),13.0,58.15384615384615,20.47700398758794,61.0,41.0,73.0,29.0,89.0,38.0,79.0
Sternal recumbency,12.0,59.0,21.825756260978366,58.5,40.25,72.5,31.0,97.0,38.0,83.0
Ambulation,13.0,72.92307692307692,32.34826512210904,66.0,46.0,93.0,35.0,147.0,42.0,93.0
Complete recovery,13.0,107.15384615384616,41.46453535622571,108.0,86.0,126.0,41.0,187.0,70.0,140.0
Duration of LORR (RORR − LORR),13.0,52.0,21.805962487356524,56.0,33.0,67.0,23.0,81.0,24.0,76.0
Duration of pedal reflex absence,13.0,46.15384615384615,19.475823276762714,52.0,32.0,57.0,16.0,80.0,24.0,61.0
