,estimate,ci_lo,ci_hi,p,p_holm,variable,set
5,7.46153846153846,-7.356306096241029,22.279383019317947,0.3236712876031642,1.0,fc,all
10,9.153846153846152,-5.6639984039333395,23.97169071162564,0.2259782072129548,1.0,fc,all
15,4.461538461538463,-10.356306096241028,19.279383019317955,0.555103493283813,1.0,fc,all
20,2.0000000000000018,-12.817844557779488,16.81784455777949,0.7913630475485647,1.0,fc,all
30,3.3076923076923084,-11.510152250087181,18.125536865471798,0.6617413971259489,1.0,fc,all
40,7.923076923076922,-6.894767634702568,22.74092148085641,0.29464344747041527,1.0,fc,all
50,4.000000000000002,-10.817844557779488,18.81784455777949,0.5967485158242991,1.0,fc,all
60,1.2307692307692344,-13.587075327010254,16.048613788548725,0.8706802511006773,1.0,fc,all
5,-25.692307692307583,-38.056590970556826,-13.328024414058342,4.647156815982307e-05,9.294313631964614e-05,fr,all
10,-37.23076923076913,-49.595052509018366,-24.866485952519888,3.5965566956753343e-09,2.8772453565402675e-08,fr,all
15,-35.76923076923066,-48.1335140474799,-23.40494749098142,1.4273565840563964e-08,9.991496088394775e-08,fr,all
20,-33.07692307692297,-45.441206355172206,-20.712639798673727,1.5773450911135227e-07,9.464070546681137e-07,fr,all
30,-33.07692307692297,-45.441206355172206,-20.712639798673727,1.5773450911135227e-07,9.464070546681137e-07,fr,all
40,-26.307692307692193,-38.67197558594143,-13.943409029442954,3.042681461823994e-05,9.128044385471982e-05,fr,all
50,-27.84615384615373,-40.21043712440297,-15.48187056790449,1.0142061092389496e-05,4.0568244369557984e-05,fr,all
60,-23.307692307692196,-35.67197558594144,-10.943409029442957,0.00022015215679714286,0.00022015215679714286,fr,all
5,-1.0384615384615359,-1.5609625712015895,-0.5159605057214823,9.803936527956572e-05,9.803936527956572e-05,temp,all
10,-1.4999999999999971,-2.0225010327400508,-0.9774989672599436,1.8371134628915425e-08,3.674226925783085e-08,temp,all
15,-1.6923076923076892,-2.2148087250477424,-1.1698066595676357,2.1806271792497363e-10,8.722508716998786e-10,temp,all
20,-2.038461538461536,-2.5609625712015895,-1.5159605057214827,2.065017953797164e-14,1.2390107722782985e-13,temp,all
30,-2.0692307692307668,-2.59173180197082,-1.5467297364907133,8.364487789355988e-15,6.69159023148479e-14,temp,all
40,-2.046153846153843,-2.5686548788938963,-1.5236528134137894,1.6494408885379185e-14,1.154608621976543e-13,temp,all
50,-1.9538461538461518,-2.4763471865862052,-1.4313451211060984,2.3168434993747e-13,1.15842174968735e-12,temp,all
60,-1.69230769230769,-2.2148087250477433,-1.1698066595676366,2.1806271792496965e-10,8.722508716998786e-10,temp,all
5,-4.166666666666708,-18.106723798343765,9.773390465010348,0.5579891378885362,1.0,spo2,reliable
10,-8.333333333333373,-22.27339046501043,5.606723798343685,0.24133284324195492,1.0,spo2,reliable
15,-3.666666666666703,-17.606723798343758,10.273390465010353,0.6061818616458801,1.0,spo2,reliable
20,-3.33333333333337,-17.273390465010426,10.606723798343687,0.639309292495329,1.0,spo2,reliable
30,-4.3333333333333695,-18.273390465010426,9.606723798343687,0.5423493557396231,1.0,spo2,reliable
40,-8.666666666666703,-22.606723798343758,5.273390465010353,0.22302326589240073,1.0,spo2,reliable
50,-13.500000000000034,-27.440057131677094,0.4400571316770243,0.05768393671731748,0.46147149373853985,spo2,reliable
60,-11.333333333333368,-25.27339046501043,2.606723798343692,0.11105700718078554,0.7773990502654988,spo2,reliable
5,-2.1538461538461746,-9.994003767674865,5.686311459982516,0.5902727518670806,1.0,spo2,all_sensitivity
10,-4.7692307692307905,-12.609388383059482,3.0709268445979,0.23315860233011976,1.0,spo2,all_sensitivity
15,-0.46153846153848366,-8.301696075367174,7.378619152290207,0.9081437916030529,1.0,spo2,all_sensitivity
20,1.461538461538439,-6.378619152290254,9.301696075367131,0.7148348171136716,1.0,spo2,all_sensitivity
30,0.30769230769228545,-7.532465306136405,8.147849921520976,0.938687093862158,1.0,spo2,all_sensitivity
40,1.2307692307692086,-6.609388383059482,9.0709268445979,0.7583254833161801,1.0,spo2,all_sensitivity
50,-1.9230769230769456,-9.763234536905635,5.917080690751745,0.6306936702420923,1.0,spo2,all_sensitivity
60,-2.4615384615384843,-10.301696075367175,5.378619152290206,0.5383163830895719,1.0,spo2,all_sensitivity
