t,n,mean,sd,ci_lo,ci_hi,variable,set
basal,13,224.84615384615384,39.97675606700756,200.6884419311945,249.0038657611132,fc,all
5,13,232.30769230769232,26.2627258530178,216.43728590965137,248.17809870573328,fc,all
10,13,234.0,34.59287017098562,213.0957377706806,254.9042622293194,fc,all
15,13,229.30769230769232,32.50483198793838,209.6652189240947,248.95016569128995,fc,all
20,13,226.84615384615384,31.109607717033214,208.04680605125557,245.6455016410521,fc,all
30,13,228.15384615384616,40.10786737837136,203.91690446638074,252.39078784131158,fc,all
40,13,232.76923076923077,29.89468694755487,214.70405224758127,250.83440929088027,fc,all
50,13,228.84615384615384,26.447577563443485,212.86404267747153,244.82826501483615,fc,all
60,13,226.07692307692307,26.765841223661482,209.90248710320506,242.25135905064107,fc,all
basal,13,113.38461538461539,53.34719371178842,81.14722886428925,145.62200190494153,fr,all
5,13,87.6923076923077,54.372763732382005,54.83517541110513,120.54943997351026,fr,all
10,13,76.15384615384616,49.17629197395521,46.43691032840104,105.87078197929128,fr,all
15,13,77.61538461538461,47.41050949163498,48.965500464689526,106.2652687660797,fr,all
20,13,80.3076923076923,49.97896993633857,50.10570304411324,110.50968157127137,fr,all
30,13,80.3076923076923,48.5736290171677,50.954942062174865,109.66044255320975,fr,all
40,13,87.07692307692308,48.22423584751679,57.935309010722776,116.21853714312338,fr,all
50,13,85.53846153846153,47.14271839251421,57.05040192938524,114.02652114753784,fr,all
60,13,90.07692307692308,47.48765021641862,61.38042325278238,118.77342290106378,fr,all
basal,13,36.11538461538461,1.6657561615505414,35.10877824132424,37.12199098944499,temp,all
5,13,35.07692307692308,1.8480412360811684,33.960162934769905,36.193683219076256,temp,all
10,13,34.61538461538461,1.5104337974271698,33.70263860658633,35.52813062418289,temp,all
15,13,34.42307692307692,1.621806526764647,33.44302904751367,35.40312479864017,temp,all
20,13,34.07692307692308,1.8308257909815098,32.970566124125945,35.183280029720216,temp,all
30,13,34.04615384615385,1.9393363919200923,32.874224593473265,35.218083098834434,temp,all
40,13,34.06923076923077,1.814930951572087,32.97247897175799,35.165982566703555,temp,all
50,13,34.16153846153846,1.926801521320788,32.997183955351105,35.32589296772582,temp,all
60,13,34.42307692307692,1.9672967265403603,33.234251409287246,35.61190243686659,temp,all
basal,6,96.0,2.280350850198275,93.60691854633482,98.39308145366518,spo2,reliable
5,6,91.83333333333333,13.18205851400557,77.99961132154158,105.66705534512508,spo2,reliable
10,6,87.66666666666667,15.80717136829568,71.07805766683381,104.25527566649953,spo2,reliable
15,6,92.33333333333333,7.312090444371339,84.65976501886718,100.00690164779948,spo2,reliable
20,6,92.66666666666667,5.853773711604052,86.52350790582318,98.80982542751016,spo2,reliable
30,6,91.66666666666667,7.1740272279011235,84.13798681212305,99.1953465212103,spo2,reliable
40,6,87.33333333333333,11.690451944500122,75.0649564162836,99.60171025038306,spo2,reliable
50,6,82.5,23.227139298673865,58.124612207143024,106.87538779285697,spo2,reliable
60,6,84.66666666666667,23.678400846904058,59.81770892218229,109.51562441115105,spo2,reliable
basal,13,83.76923076923077,16.65409782482901,73.70526017638406,93.83320136207749,spo2,all_sensitivity
5,13,81.61538461538461,16.358170545319044,71.73024108780044,91.50052814296879,spo2,all_sensitivity
10,13,79.0,16.638309208971126,68.94557037222788,89.05442962777212,spo2,all_sensitivity
15,13,83.3076923076923,14.51082708063543,74.53888726322585,92.07649735215877,spo2,all_sensitivity
20,13,85.23076923076923,12.891559552370211,77.44047776042848,93.02106070110997,spo2,all_sensitivity
30,13,84.07692307692308,12.459678556992946,76.54761468010591,91.60623147374025,spo2,all_sensitivity
40,13,85.0,12.254250963101196,77.59483025576138,92.40516974423862,spo2,all_sensitivity
50,13,81.84615384615384,16.747368717931753,71.7258202167003,91.96648747560738,spo2,all_sensitivity
60,13,81.3076923076923,18.758929497640207,69.9717846648252,92.64359995055942,spo2,all_sensitivity
