animal,sesion,fecha,sexo,peso_g,procedencia,prop_vol_ml,ket_vol_ml,prop_mg_kg,ket_mg_kg,vol_total_ml_kg,t_disminucion_actividad,t_perdida_enderezamiento,t_perdida_estimulo,t_perdida_pedal,t_plano_adecuado,calidad_induccion,t_primer_movimiento,t_retorno_pedal,t_retorno_enderezamiento,t_esternal,t_ambulacion,t_recuperacion_completa,calidad_recuperacion,post_temp,post_fc,post_fr,post_spo2,peso_post_g,seguimiento_24h,ea_marcados_operador,eficacia_operador,seguridad_operador,dur_perdida_enderezamiento,dur_ausencia_pedal,basal_fc,basal_fr,basal_temp,basal_spo2,temp_min,fc_min,fc_max,fr_min,spo2_min,spo2_fiable,temp_descenso_max,ea_hipotermia,ea_hipotermia_grave,ea_temp_menor_35,ea_bradicardia,ea_taquicardia,ea_bradipnea,ea_hipoxemia,ea_hipoxemia_grave
1,S3,2026-09-16,Macho,609.0,"Mercado ""Unión y Dignidad"" - Puno",0.42,0.3,6.8965517241379315,49.26108374384236,1.1822660098522166,2,3,3,4,4.0,Muy buena,69.0,84.0,84.0,85.0,93.0,140,,33.8,210.0,102.0,97.0,608.0,Normal,Hipotermia,Excelente,Sin eventos adversos,81.0,80.0,220.0,110.0,34.1,98.0,33.0,190.0,220.0,68.0,37.0,True,1.1000000000000014,True,False,True,True,False,False,True,True
2,S2,2026-09-11,Macho,512.0,Patallani,0.36,0.26,7.031249999999999,50.78125,1.2109375,11,14,14,14,29.0,Buena,35.0,38.0,38.0,38.0,54.0,120,0.0,38.0,215.0,180.0,87.0,530.0,Normal,Hipotermia; Bradicardia; Bradipnea; Hipoxemia; Alteración del ritmo cardíaco; Recuperación prolongada; Excitación,Excelente,Eventos adversos leves; Eventos adversos graves,24.0,24.0,227.0,174.0,38.2,86.0,34.8,201.0,229.0,85.0,84.0,False,3.4000000000000057,True,True,True,False,False,True,,
3,S2,2026-09-11,Macho,476.0,Mercado Union y Dignidad,0.33,0.23,6.932773109243699,48.319327731092436,1.1764705882352944,5,11,12,13,16.0,Muy buena,46.0,46.0,56.0,56.0,65.0,86,0.0,35.8,240.0,235.0,91.0,510.0,Normal,,Excelente,Sin eventos adversos,45.0,33.0,244.0,220.0,35.4,92.0,34.2,244.0,264.0,200.0,79.0,True,1.1999999999999957,True,False,True,False,False,False,True,True
4,S2,2026-09-11,Macho,559.0,Puno,0.39,0.27,6.976744186046512,48.30053667262969,1.180679785330948,2,8,11,4,11.0,Muy buena,26.0,50.0,41.0,41.0,42.0,70,0.0,36.0,230.0,110.0,49.0,,Normal,Hipotermia; Bradicardia; Taquicardia; Bradipnea; Apnea; Alteración del ritmo cardíaco,Excelente,Sin eventos adversos,33.0,46.0,260.0,116.0,37.5,97.0,35.0,200.0,272.0,70.0,98.0,True,2.5,True,True,False,True,False,False,False,False
5,S1,2026-09-08,Macho,538.0,Puno,0.377,0.269,7.007434944237918,50.0,1.2007434944237918,5,6,6,6,6.0,Muy buena,63.0,63.0,73.0,83.0,93.0,103,0.0,35.4,215.0,43.0,82.0,540.0,Normal,Ninguno; Hipotermia; Hipoxemia,Buena,Eventos adversos moderados,67.0,57.0,190.0,45.0,35.3,82.0,32.1,200.0,242.0,29.0,65.0,False,3.1999999999999957,True,True,True,False,True,False,,
6,S2,2026-09-11,Macho,539.0,Puno,0.38,0.27,7.050092764378478,50.09276437847866,1.2059369202226344,4,5,13,11,15.0,Muy buena,23.0,27.0,29.0,31.0,35.0,41,0.0,36.6,272.0,96.0,95.0,534.0,Normal,Ninguno,Buena,Eventos adversos leves,24.0,16.0,280.0,112.0,37.8,96.0,35.0,260.0,278.0,80.0,90.0,True,2.799999999999997,True,True,False,False,False,False,False,False
7,S2,2026-09-11,Macho,532.0,Mercado Unión y Dignidad,0.37,0.26,6.954887218045113,48.87218045112782,1.1842105263157894,3,5,5,3,5.0,Buena,51.0,56.0,61.0,61.0,66.0,91,0.0,38.2,250.0,120.0,98.0,565.0,Normal,Hipotermia; Bradicardia; Bradipnea; Hipoxemia; Recuperación prolongada,Excelente,Sin eventos adversos,56.0,53.0,208.0,140.0,39.6,98.0,37.6,208.0,250.0,80.0,89.0,True,2.0,True,True,False,False,True,False,True,False
8,S1,2026-09-08,Macho,552.0,Puno,0.39,0.28,7.065217391304348,50.72463768115942,1.213768115942029,3,4,4,8,,Muy buena,73.0,78.0,68.0,68.0,73.0,108,0.0,32.0,225.0,79.0,90.0,,Normal,Hipotermia; Recuperación prolongada,Excelente,Sin eventos adversos,64.0,70.0,240.0,140.0,35.2,95.0,32.0,225.0,255.0,32.0,59.0,True,3.200000000000003,True,True,True,False,False,True,True,True
9,S1,2026-09-08,Macho,553.0,Puno,0.39,0.28,7.052441229656419,50.63291139240506,1.2115732368896925,2,3,4,8,8.0,Buena,48.0,69.0,79.0,,80.0,110,0.0,35.0,181.0,150.0,78.0,559.0,Normal,Ninguno,Buena,Sin eventos adversos,76.0,61.0,193.0,153.0,36.5,77.0,32.1,210.0,250.0,35.0,81.0,False,4.399999999999999,True,True,True,False,True,True,,
10,S1,2026-09-08,Macho,587.0,Unión Dignidad - Puno,0.41,0.29,6.984667802385008,49.40374787052811,1.192504258943782,4,8,8,9,9.0,Muy buena,53.0,61.0,89.0,97.0,147.0,187,1.0,36.5,142.0,79.0,80.0,580.0,Normal,Hipotermia; Taquicardia; Recuperación prolongada,Excelente,Sin eventos adversos,81.0,52.0,124.0,106.0,35.3,49.0,32.2,160.0,204.0,60.0,69.0,False,3.0999999999999943,True,True,True,True,True,False,,
