animal,tiempo,min,fc,fr,temp,spo2,pedal_ausente,relajacion,plano_raw,pedal_raw,d_fc,pct_fc,d_fr,pct_fr,d_temp,pct_temp,d_spo2,pct_spo2,sesion,peso_g,spo2_fiable
1,basal,0,220.0,110.0,34.1,98.0,0.0,0.0,Vigilia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S3,609.0,True
1,5,5,220.0,110.0,33.9,98.0,0.0,1.0,Δ,1,0.0,0.0,0.0,0.0,-0.20000000000000284,-0.5865102639296271,0.0,0.0,S3,609.0,True
1,10,10,210.0,98.0,33.7,96.0,1.0,1.0,Δ,2,-10.0,-4.545454545454546,-12.0,-10.909090909090908,-0.3999999999999986,-1.1730205278592334,-2.0,-2.0408163265306123,S3,609.0,True
1,15,15,210.0,98.0,33.5,96.0,1.0,1.0,Δ,2,-10.0,-4.545454545454546,-12.0,-10.909090909090908,-0.6000000000000014,-1.7595307917888603,-2.0,-2.0408163265306123,S3,609.0,True
1,20,20,200.0,88.0,33.3,96.0,1.0,1.0,Δ,2,-20.0,-9.090909090909092,-22.0,-20.0,-0.8000000000000043,-2.3460410557184876,-2.0,-2.0408163265306123,S3,609.0,True
1,30,30,195.0,86.0,33.3,87.0,1.0,1.0,Δ,2,-25.0,-11.363636363636363,-24.0,-21.818181818181817,-0.8000000000000043,-2.3460410557184876,-11.0,-11.224489795918368,S3,609.0,True
1,40,40,195.0,70.0,33.0,72.0,1.0,1.0,Δ,2,-25.0,-11.363636363636363,-40.0,-36.36363636363637,-1.1000000000000014,-3.2258064516129075,-26.0,-26.53061224489796,S3,609.0,True
1,50,50,190.0,68.0,33.0,37.0,1.0,1.0,Δ,2,-30.0,-13.636363636363637,-42.0,-38.18181818181818,-1.1000000000000014,-3.2258064516129075,-61.0,-62.244897959183675,S3,609.0,True
1,60,60,195.0,72.0,33.0,37.0,1.0,1.0,Δ,2,-25.0,-11.363636363636363,-38.0,-34.54545454545455,-1.1000000000000014,-3.2258064516129075,-61.0,-62.244897959183675,S3,609.0,True
2,basal,0,227.0,174.0,38.2,86.0,0.0,0.0,Insuficiente,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S2,512.0,False
2,5,5,222.0,108.0,36.8,86.0,0.0,1.0,Adecuado,1,-5.0,-2.202643171806167,-66.0,-37.93103448275862,-1.4000000000000057,-3.664921465968601,0.0,0.0,S2,512.0,False
2,10,10,216.0,102.0,36.5,85.0,0.0,1.0,Adecuado,1,-11.0,-4.845814977973569,-72.0,-41.37931034482759,-1.7000000000000028,-4.450261780104719,-1.0,-1.1627906976744187,S2,512.0,False
2,15,15,208.0,85.0,36.1,84.0,1.0,2.0,Adecuado,2,-19.0,-8.370044052863436,-89.0,-51.14942528735632,-2.1000000000000014,-5.497382198952883,-2.0,-2.3255813953488373,S2,512.0,False
2,20,20,201.0,103.0,34.8,84.0,1.0,2.0,Adecuado,2,-26.0,-11.45374449339207,-71.0,-40.804597701149426,-3.4000000000000057,-8.900523560209438,-2.0,-2.3255813953488373,S2,512.0,False
2,30,30,215.0,105.0,36.3,85.0,0.0,1.0,Adecuado,1,-12.0,-5.286343612334802,-69.0,-39.6551724137931,-1.9000000000000057,-4.97382198952881,-1.0,-1.1627906976744187,S2,512.0,False
2,40,40,218.0,120.0,36.2,87.0,0.0,0.0,Normal,0,-9.0,-3.9647577092511015,-54.0,-31.03448275862069,-2.0,-5.2356020942408374,1.0,1.1627906976744187,S2,512.0,False
2,50,50,229.0,118.0,36.9,86.0,0.0,0.0,Normal,0,2.0,0.8810572687224669,-56.0,-32.18390804597701,-1.3000000000000043,-3.4031413612565555,0.0,0.0,S2,512.0,False
2,60,60,221.0,118.0,36.7,87.0,0.0,0.0,Normal,0,-6.0,-2.643171806167401,-56.0,-32.18390804597701,-1.5,-3.926701570680628,1.0,1.1627906976744187,S2,512.0,False
3,basal,0,244.0,220.0,35.4,92.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S2,476.0,True
3,5,5,248.0,226.0,35.4,96.0,0.0,0.0,1,0,4.0,1.639344262295082,6.0,2.727272727272727,0.0,0.0,4.0,4.3478260869565215,S2,476.0,True
3,10,10,244.0,219.0,35.1,79.0,0.0,1.0,1,1,0.0,0.0,-1.0,-0.45454545454545453,-0.29999999999999716,-0.847457627118636,-13.0,-14.130434782608695,S2,476.0,True
3,15,15,248.0,200.0,34.9,82.0,1.0,1.0,2,2,4.0,1.639344262295082,-20.0,-9.090909090909092,-0.5,-1.4124293785310735,-10.0,-10.869565217391305,S2,476.0,True
3,20,20,248.0,215.0,34.9,83.0,1.0,2.0,2,2,4.0,1.639344262295082,-5.0,-2.272727272727273,-0.5,-1.4124293785310735,-9.0,-9.782608695652174,S2,476.0,True
3,30,30,256.0,220.0,34.7,91.0,1.0,2.0,3,2,12.0,4.918032786885246,0.0,0.0,-0.6999999999999957,-1.9774011299434908,-1.0,-1.0869565217391304,S2,476.0,True
3,40,40,254.0,220.0,34.2,79.0,0.0,1.0,2,1,10.0,4.098360655737705,0.0,0.0,-1.1999999999999957,-3.3898305084745646,-13.0,-14.130434782608695,S2,476.0,True
3,50,50,264.0,222.0,34.5,80.0,0.0,1.0,1,1,20.0,8.19672131147541,2.0,0.9090909090909091,-0.8999999999999986,-2.542372881355928,-12.0,-13.043478260869565,S2,476.0,True
3,60,60,260.0,224.0,34.9,89.0,0.0,0.0,1,0,16.0,6.557377049180328,4.0,1.8181818181818181,-0.5,-1.4124293785310735,-3.0,-3.260869565217391,S2,476.0,True
4,basal,0,260.0,116.0,37.5,97.0,0.0,0.0,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S2,559.0,True
4,5,5,264.0,105.0,36.0,98.0,1.0,1.0,PII,NO,4.0,1.5384615384615385,-11.0,-9.482758620689655,-1.5,-4.0,1.0,1.0309278350515463,S2,559.0,True
4,10,10,272.0,70.0,35.8,98.0,1.0,1.0,PII,NO,12.0,4.615384615384615,-46.0,-39.6551724137931,-1.7000000000000028,-4.533333333333341,1.0,1.0309278350515463,S2,559.0,True
4,15,15,220.0,80.0,36.6,98.0,1.0,1.0,PII,NO,-40.0,-15.384615384615385,-36.0,-31.03448275862069,-0.8999999999999986,-2.3999999999999964,1.0,1.0309278350515463,S2,559.0,True
4,20,20,260.0,78.0,35.5,98.0,1.0,1.0,PII,NO,0.0,0.0,-38.0,-32.758620689655174,-2.0,-5.333333333333333,1.0,1.0309278350515463,S2,559.0,True
4,30,30,260.0,70.0,35.5,98.0,1.0,1.0,PII,NO,0.0,0.0,-46.0,-39.6551724137931,-2.0,-5.333333333333333,1.0,1.0309278350515463,S2,559.0,True
4,40,40,254.0,72.0,35.0,98.0,1.0,0.0,No hay,NO,-6.0,-2.3076923076923075,-44.0,-37.93103448275862,-2.5,-6.666666666666667,1.0,1.0309278350515463,S2,559.0,True
4,50,50,230.0,80.0,35.0,98.0,0.0,0.0,No hay,SI,-30.0,-11.538461538461538,-36.0,-31.03448275862069,-2.5,-6.666666666666667,1.0,1.0309278350515463,S2,559.0,True
4,60,60,200.0,82.0,35.5,98.0,0.0,0.0,No hay,SI,-60.0,-23.076923076923077,-34.0,-29.310344827586206,-2.0,-5.333333333333333,1.0,1.0309278350515463,S2,559.0,True
5,basal,0,190.0,45.0,35.3,82.0,,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S1,538.0,False
5,5,5,220.0,33.0,33.3,67.0,1.0,0.0,1,2,30.0,15.789473684210526,-12.0,-26.666666666666668,-2.0,-5.6657223796034,-15.0,-18.29268292682927,S1,538.0,False
5,10,10,230.0,29.0,32.8,65.0,1.0,0.0,1,2,40.0,21.05263157894737,-16.0,-35.55555555555556,-2.5,-7.0821529745042495,-17.0,-20.73170731707317,S1,538.0,False
5,15,15,234.0,30.0,32.6,66.0,1.0,0.0,1,2,44.0,23.157894736842106,-15.0,-33.333333333333336,-2.6999999999999957,-7.648725212464577,-16.0,-19.51219512195122,S1,538.0,False
5,20,20,216.0,31.0,32.1,77.0,1.0,0.0,1,2,26.0,13.68421052631579,-14.0,-31.11111111111111,-3.1999999999999957,-9.065155807365427,-5.0,-6.097560975609756,S1,538.0,False
5,30,30,242.0,32.0,32.4,71.0,0.0,1.0,1,1,52.0,27.36842105263158,-13.0,-28.88888888888889,-2.8999999999999986,-8.215297450424927,-11.0,-13.414634146341463,S1,538.0,False
5,40,40,231.0,40.0,32.9,80.0,0.0,1.0,2,1,41.0,21.57894736842105,-5.0,-11.11111111111111,-2.3999999999999986,-6.798866855524076,-2.0,-2.4390243902439024,S1,538.0,False
5,50,50,200.0,41.0,33.4,83.0,0.0,2.0,2,0,10.0,5.2631578947368425,-4.0,-8.88888888888889,-1.8999999999999986,-5.382436260623225,1.0,1.2195121951219512,S1,538.0,False
5,60,60,215.0,43.0,33.4,82.0,0.0,2.0,2,0,25.0,13.157894736842104,-2.0,-4.444444444444445,-1.8999999999999986,-5.382436260623225,0.0,0.0,S1,538.0,False
6,basal,0,280.0,112.0,37.8,96.0,0.0,0.0,–,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S2,539.0,True
6,5,5,270.0,105.0,36.0,96.0,0.0,1.0,1,SI,-10.0,-3.5714285714285716,-7.0,-6.25,-1.7999999999999972,-4.761904761904755,0.0,0.0,S2,539.0,True
6,10,10,276.0,80.0,35.0,96.0,1.0,1.0,2,NO,-4.0,-1.4285714285714286,-32.0,-28.571428571428573,-2.799999999999997,-7.4074074074074,0.0,0.0,S2,539.0,True
6,15,15,260.0,86.0,35.5,96.0,1.0,1.0,2,NO,-20.0,-7.142857142857143,-26.0,-23.214285714285715,-2.299999999999997,-6.0846560846560775,0.0,0.0,S2,539.0,True
6,20,20,274.0,84.0,35.4,90.0,1.0,1.0,2,NO,-6.0,-2.142857142857143,-28.0,-25.0,-2.3999999999999986,-6.349206349206346,-6.0,-6.25,S2,539.0,True
6,30,30,278.0,87.0,36.5,96.0,0.0,0.0,1,SI,-2.0,-0.7142857142857143,-25.0,-22.321428571428573,-1.2999999999999972,-3.439153439153432,0.0,0.0,S2,539.0,True
6,40,40,276.0,92.0,36.2,96.0,0.0,0.0,1,SI,-4.0,-1.4285714285714286,-20.0,-17.857142857142858,-1.5999999999999943,-4.232804232804218,0.0,0.0,S2,539.0,True
6,50,50,270.0,89.0,36.4,96.0,0.0,0.0,1,SI,-10.0,-3.5714285714285716,-23.0,-20.535714285714285,-1.3999999999999986,-3.7037037037037,0.0,0.0,S2,539.0,True
6,60,60,270.0,97.0,37.0,96.0,0.0,0.0,1,SI,-10.0,-3.5714285714285716,-15.0,-13.392857142857142,-0.7999999999999972,-2.116402116402109,0.0,0.0,S2,539.0,True
7,basal,0,208.0,140.0,39.6,98.0,,1.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S2,532.0,True
7,5,5,208.0,140.0,39.6,98.0,1.0,1.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S2,532.0,True
7,10,10,250.0,80.0,37.6,98.0,1.0,0.0,2,2,42.0,20.192307692307693,-60.0,-42.857142857142854,-2.0,-5.05050505050505,0.0,0.0,S2,532.0,True
7,15,15,250.0,128.0,37.6,98.0,1.0,0.0,1,2,42.0,20.192307692307693,-12.0,-8.571428571428571,-2.0,-5.05050505050505,0.0,0.0,S2,532.0,True
7,20,20,221.0,128.0,38.8,98.0,1.0,1.0,2,2,13.0,6.25,-12.0,-8.571428571428571,-0.8000000000000043,-2.020202020202031,0.0,0.0,S2,532.0,True
7,30,30,250.0,84.0,37.9,98.0,1.0,0.0,2,2,42.0,20.192307692307693,-56.0,-40.0,-1.7000000000000028,-4.2929292929293,0.0,0.0,S2,532.0,True
7,40,40,244.0,126.0,37.9,99.0,1.0,0.0,2,2,36.0,17.307692307692307,-14.0,-10.0,-1.7000000000000028,-4.2929292929293,1.0,1.0204081632653061,S2,532.0,True
7,50,50,250.0,96.0,38.0,89.0,0.0,1.0,1,1,42.0,20.192307692307693,-44.0,-31.428571428571427,-1.6000000000000014,-4.040404040404044,-9.0,-9.183673469387756,S2,532.0,True
7,60,60,250.0,120.0,38.2,98.0,1.0,1.0,2,2,42.0,20.192307692307693,-20.0,-14.285714285714286,-1.3999999999999986,-3.5353535353535315,0.0,0.0,S2,532.0,True
8,basal,0,240.0,140.0,35.2,95.0,0.0,0.0,I,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S1,552.0,True
8,5,5,247.0,50.0,33.9,65.0,1.0,2.0,I,no,7.0,2.9166666666666665,-90.0,-64.28571428571429,-1.3000000000000043,-3.69318181818183,-30.0,-31.57894736842105,S1,552.0,True
8,10,10,230.0,46.0,32.8,59.0,1.0,2.0,I,no,-10.0,-4.166666666666667,-94.0,-67.14285714285714,-2.4000000000000057,-6.818181818181833,-36.0,-37.89473684210526,S1,552.0,True
8,15,15,255.0,32.0,32.7,84.0,1.0,2.0,I,no,15.0,6.25,-108.0,-77.14285714285714,-2.5,-7.102272727272727,-11.0,-11.578947368421053,S1,552.0,True
8,20,20,236.0,44.0,32.6,91.0,1.0,2.0,I,Ausente,-4.0,-1.6666666666666667,-96.0,-68.57142857142857,-2.6000000000000014,-7.386363636363639,-4.0,-4.2105263157894735,S1,552.0,True
8,30,30,242.0,59.0,32.0,80.0,1.0,1.0,I,Ausente,2.0,0.8333333333333334,-81.0,-57.857142857142854,-3.200000000000003,-9.090909090909099,-15.0,-15.789473684210526,S1,552.0,True
8,40,40,235.0,68.0,34.0,80.0,0.0,1.0,I,Moderado,-5.0,-2.0833333333333335,-72.0,-51.42857142857143,-1.2000000000000028,-3.4090909090909167,-15.0,-15.789473684210526,S1,552.0,True
8,50,50,228.0,66.0,32.6,95.0,0.0,0.0,I,Normal,-12.0,-5.0,-74.0,-52.857142857142854,-2.6000000000000014,-7.386363636363639,0.0,0.0,S1,552.0,True
8,60,60,225.0,79.0,32.0,90.0,0.0,0.0,I,Normal,-15.0,-6.25,-61.0,-43.57142857142857,-3.200000000000003,-9.090909090909099,-5.0,-5.2631578947368425,S1,552.0,True
9,basal,0,193.0,153.0,36.5,77.0,,,,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S1,553.0,False
9,5,5,250.0,35.0,35.7,81.0,,,I,X,57.0,29.533678756476682,-118.0,-77.12418300653594,-0.7999999999999972,-2.1917808219178005,4.0,5.194805194805195,S1,553.0,False
9,10,10,246.0,36.0,35.1,89.0,,,I,,53.0,27.46113989637306,-117.0,-76.47058823529412,-1.3999999999999986,-3.8356164383561606,12.0,15.584415584415584,S1,553.0,False
9,15,15,218.0,38.0,34.1,84.0,,,II,,25.0,12.953367875647668,-115.0,-75.16339869281046,-2.3999999999999986,-6.575342465753421,7.0,9.090909090909092,S1,553.0,False
9,20,20,212.0,42.0,33.4,87.0,,,II,,19.0,9.844559585492227,-111.0,-72.54901960784314,-3.1000000000000014,-8.49315068493151,10.0,12.987012987012987,S1,553.0,False
9,30,30,210.0,46.0,33.2,91.0,,,I,,17.0,8.808290155440414,-107.0,-69.93464052287581,-3.299999999999997,-9.04109589041095,14.0,18.181818181818183,S1,553.0,False
9,40,40,220.0,50.0,32.6,90.0,,,I,,27.0,13.989637305699482,-103.0,-67.3202614379085,-3.8999999999999986,-10.684931506849312,13.0,16.883116883116884,S1,553.0,False
9,50,50,226.0,58.0,32.1,88.0,,,I,,33.0,17.098445595854923,-95.0,-62.091503267973856,-4.399999999999999,-12.054794520547942,11.0,14.285714285714286,S1,553.0,False
9,60,60,236.0,60.0,32.3,86.0,,,I,,43.0,22.27979274611399,-93.0,-60.78431372549019,-4.200000000000003,-11.5068493150685,9.0,11.688311688311689,S1,553.0,False
10,basal,0,124.0,106.0,35.3,49.0,,0.0,I,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S1,587.0,False
10,5,5,172.0,60.0,32.7,70.0,1.0,0.0,I,2,48.0,38.70967741935484,-46.0,-43.39622641509434,-2.5999999999999943,-7.365439093484404,21.0,42.857142857142854,S1,587.0,False
10,10,10,170.0,68.0,32.5,69.0,1.0,0.0,I,2,46.0,37.096774193548384,-38.0,-35.84905660377358,-2.799999999999997,-7.932011331444752,20.0,40.816326530612244,S1,587.0,False
10,15,15,160.0,68.0,33.0,72.0,1.0,1.0,I,2,36.0,29.032258064516128,-38.0,-35.84905660377358,-2.299999999999997,-6.515580736543902,23.0,46.93877551020408,S1,587.0,False
10,20,20,178.0,69.0,32.2,74.0,1.0,1.0,I,2,54.0,43.54838709677419,-37.0,-34.905660377358494,-3.0999999999999943,-8.781869688385253,25.0,51.02040816326531,S1,587.0,False
10,30,30,204.0,96.0,32.7,70.0,0.0,1.0,I,1,80.0,64.51612903225806,-10.0,-9.433962264150944,-2.5999999999999943,-7.365439093484404,21.0,42.857142857142854,S1,587.0,False
10,40,40,168.0,96.0,32.4,71.0,0.0,1.0,I,0,44.0,35.483870967741936,-10.0,-9.433962264150944,-2.8999999999999986,-8.215297450424927,22.0,44.89795918367347,S1,587.0,False
10,50,50,180.0,102.0,33.3,77.0,0.0,0.0,I,0,56.0,45.16129032258065,-4.0,-3.7735849056603774,-2.0,-5.6657223796034,28.0,57.142857142857146,S1,587.0,False
10,60,60,172.0,100.0,33.7,76.0,0.0,0.0,I,0,48.0,38.70967741935484,-6.0,-5.660377358490566,-1.5999999999999943,-4.532577903682704,27.0,55.10204081632653,S1,587.0,False
